,Cycle,Joint,Angle_x,Angle_y,Angle_z,Flex_Ext_Angle,subject,avg_flex
191,92.0,l_ankle,9.072629095533143,-18.436407011731863,-1.5323939965348141,80.92739535570973,1,80.30771664925305
192,93.0,l_ankle,8.836411270037848,-18.459552946234318,-1.5328728379287566,81.16013764153644,1,80.52082816656326
193,94.0,l_ankle,8.623155912733829,-18.482983388642193,-1.5392473209942688,81.37339299884046,1,80.71630687568171
194,95.0,l_ankle,8.42965553175028,-18.495060751453487,-1.4563395155695595,81.5703689194926,1,80.89899744205377
195,96.0,l_ankle,8.253505367650295,-18.487302470481392,-1.2015914039019076,81.7533479067154,1,81.06920787486678
196,97.0,l_ankle,8.087884924671997,-18.460893798769128,-0.7808398562499775,81.91213952657088,1,81.22297372753839
197,98.0,l_ankle,7.932963990502502,-18.435157970431113,-0.27610408968594147,82.06358492107178,1,81.36544491431732
198,99.0,l_ankle,7.780439207894252,-18.425774350100895,0.1850816398875178,82.21610970368005,1,81.50416952733919
199,100.0,l_ankle,7.632090604950729,-18.43273603815825,0.5546031382699516,82.36793384629213,1,81.63116437593746
200,1.0,r_knee,-93.91248456596402,-9.393892799672432,-6.995009903587842,93.91248456596402,1,94.40212422466021
201,2.0,r_knee,-93.75222021250367,-9.3432733305658,-7.0075166362084715,93.75222021250367,1,94.28450714912545
202,3.0,r_knee,-93.68504798470109,-9.255662992414575,-7.051399601638678,93.68504798470109,1,94.23859298485701
203,4.0,r_knee,-93.58849116430127,-9.12663358874277,-7.082896567220497,93.58849116430127,1,94.14838396538539
204,5.0,r_knee,-93.47326250853648,-8.968262641232435,-7.050872102354665,93.47326250853648,1,94.04463639129762
205,6.0,r_knee,-93.3076334461006,-8.797491026663103,-6.906439605466002,93.3076334461006,1,93.90597386154926
206,7.0,r_knee,-93.06805270174532,-8.631924054079127,-6.640782425456906,93.06805270174532,1,93.72121489137385
207,8.0,r_knee,-92.7601238640187,-8.491962592341904,-6.300445652545609,92.7601238640187,1,93.486243181411
208,9.0,r_knee,-92.38857996355807,-8.3919051479642,-5.96529302996636,92.38857996355807,1,93.20430817210276
209,10.0,r_knee,-91.9581771126101,-8.33675683452663,-5.705706992720916,91.9581771126101,1,92.87417254492598
210,11.0,r_knee,-91.48243625953818,-8.3226119888819,-5.555724876187951,91.48243625953818,1,92.50389384566111
211,12.0,r_knee,-90.95888622658185,-8.339095693842372,-5.509326789727196,90.95888622658185,1,92.0884267302294
212,13.0,r_knee,-90.42119849923418,-8.376487991994788,-5.537191745192771,90.42119849923418,1,91.64759489600219
213,14.0,r_knee,-89.88222584885969,-8.417969816359772,-5.599709874710292,89.88222584885969,1,91.18959314447568
214,15.0,r_knee,-89.34797364312541,-8.440772813557095,-5.661432688219347,89.34797364312541,1,90.72145795427454
215,16.0,r_knee,-88.81782905510326,-8.424784563108005,-5.696808695000102,88.81782905510326,1,90.2484570099746
216,17.0,r_knee,-88.27189987637904,-8.362465198901587,-5.690497227885435,88.27189987637904,1,89.76390813228814
217,18.0,r_knee,-87.72395615408246,-8.265869379155642,-5.643791837869365,87.72395615408246,1,89.27541072966932
218,19.0,r_knee,-87.1716001801081,-8.151219443750168,-5.573945021772654,87.1716001801081,1,88.77639437507851
219,20.0,r_knee,-86.61038903285102,-8.026742605870298,-5.50935997001399,86.61038903285102,1,88.2609870735739
220,21.0,r_knee,-86.03118917637245,-7.892222712078131,-5.471127249436882,86.03118917637245,1,87.71957008267987
221,22.0,r_knee,-85.40459810661324,-7.750176581344228,-5.454649474149773,85.40459810661324,1,87.13741611468927
222,23.0,r_knee,-84.73573606203944,-7.618574835182907,-5.435830332032833,84.73573606203944,1,86.5153344235267
223,24.0,r_knee,-84.02561174791126,-7.520003369493959,-5.3917561623542545,84.02561174791126,1,85.85174196502672
224,25.0,r_knee,-83.28890106027043,-7.468335329504957,-5.323054169983925,83.28890106027043,1,85.15492967655082
225,26.0,r_knee,-82.54422543547662,-7.457695839048912,-5.251896085588415,82.54422543547662,1,84.43577992159715
226,27.0,r_knee,-81.78568152470812,-7.462538249977264,-5.200038231205066,81.78568152470812,1,83.69521499577115
227,28.0,r_knee,-81.02327138296933,-7.45586185745743,-5.173497516820022,81.02327138296933,1,82.93796290311991
228,29.0,r_knee,-80.24201796272759,-7.4205171348646335,-5.157821227444548,80.24201796272759,1,82.15442521464752
229,30.0,r_knee,-79.42747902798496,-7.355036711078252,-5.130237472739591,79.42747902798496,1,81.32973709463907
230,31.0,r_knee,-78.57421627268054,-7.2673641466673775,-5.074674537809386,78.57421627268054,1,80.45543965668844
231,32.0,r_knee,-77.67353383878917,-7.166755693376064,-4.99154598928368,77.67353383878917,1,79.52420722272853
232,33.0,r_knee,-76.75255706079345,-7.0658348102917214,-4.899454857263922,76.75255706079345,1,78.55188287689775
233,34.0,r_knee,-75.82214208992909,-6.975395193607419,-4.819660316478768,75.82214208992909,1,77.55490334569822
234,35.0,r_knee,-74.88577498275274,-6.900465368100516,-4.761428151508829,74.88577498275274,1,76.54608412854114
235,36.0,r_knee,-73.94050222179656,-6.8347302279234015,-4.714345990580255,73.94050222179656,1,75.53114309908557
236,37.0,r_knee,-72.96835889979846,-6.761266262876091,-4.65136689847639,72.96835889979846,1,74.49609327400027
237,38.0,r_knee,-71.98157762362246,-6.667959576359894,-4.545133540163929,71.98157762362246,1,73.43656568007692
